0x7E1E 0x7F1F  // 縞 缟
0x69C0 0x7A3F  // 槀 稿
0x93AC 0x9550  // 鎬 镐
0x8AA5 0x8BF0  // 誥 诰
0x92EF 0x9506  // 鋯 锆
0x7D07 0x7EA5  // 紇 纥
0x8090 0x80F3  // 肐 胳
0x9D3F 0x9E3D  // 鴿 鸽
0x64F1 0x6401  // 擱 搁
0x8B0C 0x6B4C  // 謌 歌
0x95A3 0x9601  // 閣 阁
0x9398 0x9549  // 鎘 镉
0x500B 0x4E2A  // 個 个
0x7B87 0x4E2A  // 箇 个
0x927B 0x94EC  // 鉻 铬
0x7D66 0x7ED9  // 給 给
0x4E99 0x4E98  // 亙 亘
0x754A 0x8015  // 畊 耕
0x8CE1 0x8D53  // 賡 赓
0x7D86 0x7EE0  // 綆 绠
0x9ABE 0x9CA0  // 骾 鲠
0x9BC1 0x9CA0  // 鯁 鲠
0x5BAE 0x5BAB  // 宮 宫
0x8EB3 0x8EAC  // 躳 躬
0x9F94 0x9F9A  // 龔 龚
0x978F 0x5DE9  // 鞏 巩
0x8CA2 0x8D21  // 貢 贡
0x6E9D 0x6C9F  // 溝 沟
0x920E 0x94A9  // 鈎 钩
0x9264 0x94A9  // 鉤 钩
0x7DF1 0x7F11  // 緱 缑
0x6406 0x6784  // 搆 构
0x69CB 0x6784  // 構 构
0x8A6C 0x8BDF  // 詬 诟
0x8CFC 0x8D2D  // 購 购
0x5920 0x591F  // 夠 够
0x89AF 0x89CF  // 覯 觏
0x8EF2 0x8F71  // 軲 轱
0x9D23 0x9E2A  // 鴣 鸪
0x8F42 0x6BC2  // 轂 毂
0x9DBB 0x9E58  // 鶻 鹘
0x8A41 0x8BC2  // 詁 诂
0x7A40 0x8C37  // 穀 谷
0x9237 0x94B4  // 鈷 钴
0x8831 0x86CA  // 蠱 蛊
0x9D60 0x9E44  // 鵠 鹄
0x76B7 0x9F13  // 皷 鼓
0x9867 0x987E  // 顧 顾
0x50F1 0x96C7  // 僱 雇
0x932E 0x9522  // 錮 锢
